time_delay_ms,estimator,rmse
0,EKF,0.0353
0,LMHE1,0.0368
0,LMHE2,0.0370
0,LMHE3,0.0369
10,EKF,0.1287
10,LMHE1,0.1402
10,LMHE2,0.1365
10,LMHE3,0.1351
20,EKF,0.2710
20,LMHE1,0.2903
20,LMHE2,0.2818
20,LMHE3,0.2781
30,EKF,0.4388
30,LMHE1,0.4626
30,LMHE2,0.4480
30,LMHE3,0.4411
40,EKF,0.6335
40,LMHE1,0.6560
40,LMHE2,0.6350
40,LMHE3,0.6235
50,EKF,0.8588
50,LMHE1,0.8709
50,LMHE2,0.8435
50,LMHE3,0.8258
60,EKF,1.1195
60,LMHE1,1.1106
60,LMHE2,1.0761
60,LMHE3,1.0504
70,EKF,1.4194
70,LMHE1,1.3794
70,LMHE2,1.3346
70,LMHE3,1.3019
80,EKF,1.7695
80,LMHE1,1.6758
80,LMHE2,1.6176
80,LMHE3,1.5803
90,EKF,2.2161
90,LMHE1,1.9968
90,LMHE2,1.9235
90,LMHE3,1.8829
100,EKF,2.7206
100,LMHE1,2.3460
100,LMHE2,2.2545
100,LMHE3,2.2129
110,EKF,3.1429
110,LMHE1,2.7288
110,LMHE2,2.6294
110,LMHE3,2.5829
120,EKF,7.7250
120,LMHE1,3.1469
120,LMHE2,3.0364
120,LMHE3,2.9650
130,EKF,111.3139
130,LMHE1,3.6027
130,LMHE2,3.5368
130,LMHE3,nan
140,EKF,nan
140,LMHE1,4.1504
140,LMHE2,nan
140,LMHE3,nan
150,EKF,nan
150,LMHE1,8.0235
150,LMHE2,8.5182
150,LMHE3,nan
