run_id,loop,estimator,T,time,estimation_error_norm
33e0cf8b (Q1),1,EKF,30.0,0.00,0.000000
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.00,0.000000
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.00,0.000000
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.00,0.000000
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.00,0.000000
33e0cf8b (Q1),1,EKF,30.0,0.01,0.034898
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.01,0.034254
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.01,0.034254
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.01,0.034254
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.01,0.034254
33e0cf8b (Q1),1,EKF,30.0,0.02,0.045359
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.02,0.054731
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.02,0.054731
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.02,0.054731
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.02,0.054731
33e0cf8b (Q1),1,EKF,30.0,0.03,0.046169
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.03,0.047494
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.03,0.047494
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.03,0.047494
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.03,0.047494
33e0cf8b (Q1),1,EKF,30.0,0.04,0.047296
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.04,0.054131
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.04,0.054131
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.04,0.054131
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.04,0.054131
33e0cf8b (Q1),1,EKF,30.0,0.05,0.058003
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.05,0.059827
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.05,0.059827
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.05,0.059827
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.05,0.059827
33e0cf8b (Q1),1,EKF,30.0,0.06,0.072248
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.06,0.075368
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.06,0.075368
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.06,0.075368
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.06,0.075368
33e0cf8b (Q1),1,EKF,30.0,0.07,0.075166
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.07,0.076619
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.07,0.076619
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.07,0.076619
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.07,0.076619
33e0cf8b (Q1),1,EKF,30.0,0.08,0.083327
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.08,0.085907
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.08,0.085907
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.08,0.085907
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.08,0.085907
33e0cf8b (Q1),1,EKF,30.0,0.09,0.089280
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.09,0.090969
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.09,0.090969
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.09,0.090969
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.09,0.090969
33e0cf8b (Q1),1,EKF,30.0,0.10,0.093544
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.10,0.094702
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.10,0.094702
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.10,0.094702
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.10,0.094702
33e0cf8b (Q1),1,EKF,30.0,0.11,0.100915
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.11,0.101796
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.11,0.101804
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.11,0.101804
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.11,0.101804
33e0cf8b (Q1),1,EKF,30.0,0.12,0.106317
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.12,0.107095
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.12,0.107012
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.12,0.107012
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.12,0.107012
33e0cf8b (Q1),1,EKF,30.0,0.13,0.116096
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.13,0.116669
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.13,0.116627
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.13,0.116627
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.13,0.116627
