run_id,loop,estimator,T,time,estimation_error_norm
dfc77c79,1,EKF,1.0,0.00,1.000000
dfc77c79,1,LMHE1,1.0,0.00,1.000000
dfc77c79,1,LMHE2,1.0,0.00,1.000000
dfc77c79,1,LMHE3,1.0,0.00,1.000000
dfc77c79,1,EKF,1.0,0.01,0.353218
dfc77c79,1,LMHE1,1.0,0.01,0.265546
dfc77c79,1,LMHE2,1.0,0.01,0.442469
dfc77c79,1,LMHE3,1.0,0.01,0.352715
dfc77c79,1,EKF,1.0,0.02,0.295180
dfc77c79,1,LMHE1,1.0,0.02,0.231128
dfc77c79,1,LMHE2,1.0,0.02,0.465206
dfc77c79,1,LMHE3,1.0,0.02,0.141228
dfc77c79,1,EKF,1.0,0.03,0.244633
dfc77c79,1,LMHE1,1.0,0.03,0.197743
dfc77c79,1,LMHE2,1.0,0.03,0.354469
dfc77c79,1,LMHE3,1.0,0.03,0.171691
dfc77c79,1,EKF,1.0,0.04,0.231481
dfc77c79,1,LMHE1,1.0,0.04,0.200548
dfc77c79,1,LMHE2,1.0,0.04,0.354764
dfc77c79,1,LMHE3,1.0,0.04,0.173481
dfc77c79,1,EKF,1.0,0.05,0.214268
dfc77c79,1,LMHE1,1.0,0.05,0.189561
dfc77c79,1,LMHE2,1.0,0.05,0.307096
dfc77c79,1,LMHE3,1.0,0.05,0.169461
dfc77c79,1,EKF,1.0,0.06,0.215747
dfc77c79,1,LMHE1,1.0,0.06,0.194489
dfc77c79,1,LMHE2,1.0,0.06,0.319321
dfc77c79,1,LMHE3,1.0,0.06,0.180468
dfc77c79,1,EKF,1.0,0.07,0.215362
dfc77c79,1,LMHE1,1.0,0.07,0.198458
dfc77c79,1,LMHE2,1.0,0.07,0.290808
dfc77c79,1,LMHE3,1.0,0.07,0.187684
dfc77c79,1,EKF,1.0,0.08,0.212938
dfc77c79,1,LMHE1,1.0,0.08,0.197387
dfc77c79,1,LMHE2,1.0,0.08,0.282149
dfc77c79,1,LMHE3,1.0,0.08,0.185960
dfc77c79,1,EKF,1.0,0.09,0.231697
dfc77c79,1,LMHE1,1.0,0.09,0.216211
dfc77c79,1,LMHE2,1.0,0.09,0.314155
dfc77c79,1,LMHE3,1.0,0.09,0.215630
dfc77c79,1,EKF,1.0,0.10,0.245005
dfc77c79,1,LMHE1,1.0,0.10,0.229645
dfc77c79,1,LMHE2,1.0,0.10,0.311321
dfc77c79,1,LMHE3,1.0,0.10,0.227464
dfc77c79,1,EKF,1.0,0.11,0.265496
dfc77c79,1,LMHE1,1.0,0.11,0.250159
dfc77c79,1,LMHE2,1.0,0.11,0.329004
dfc77c79,1,LMHE3,1.0,0.11,0.250655
dfc77c79,1,EKF,1.0,0.12,0.275570
dfc77c79,1,LMHE1,1.0,0.12,0.261140
dfc77c79,1,LMHE2,1.0,0.12,0.325754
dfc77c79,1,LMHE3,1.0,0.12,0.257112
dfc77c79,1,EKF,1.0,0.13,0.302654
dfc77c79,1,LMHE1,1.0,0.13,0.287459
dfc77c79,1,LMHE2,1.0,0.13,0.368520
dfc77c79,1,LMHE3,1.0,0.13,0.288963
dfc77c79,1,EKF,1.0,0.14,0.327490
dfc77c79,1,LMHE1,1.0,0.14,0.311512
dfc77c79,1,LMHE2,1.0,0.14,0.395247
dfc77c79,1,LMHE3,1.0,0.14,0.314251
dfc77c79,1,EKF,1.0,0.15,0.332887
dfc77c79,1,LMHE1,1.0,0.15,0.315501
dfc77c79,1,LMHE2,1.0,0.15,0.393721
dfc77c79,1,LMHE3,1.0,0.15,0.308606
dfc77c79,1,EKF,1.0,0.16,0.336706
dfc77c79,1,LMHE1,1.0,0.16,0.319536
dfc77c79,1,LMHE2,1.0,0.16,0.397353
dfc77c79,1,LMHE3,1.0,0.16,0.310387
dfc77c79,1,EKF,1.0,0.17,0.335277
dfc77c79,1,LMHE1,1.0,0.17,0.314334
dfc77c79,1,LMHE2,1.0,0.17,0.421070
dfc77c79,1,LMHE3,1.0,0.17,0.300931
dfc77c79,1,EKF,1.0,0.18,0.361812
dfc77c79,1,LMHE1,1.0,0.18,0.337893
dfc77c79,1,LMHE2,1.0,0.18,0.476215
dfc77c79,1,LMHE3,1.0,0.18,0.338798
dfc77c79,1,EKF,1.0,0.19,0.355076
dfc77c79,1,LMHE1,1.0,0.19,0.332110
dfc77c79,1,LMHE2,1.0,0.19,0.436874
dfc77c79,1,LMHE3,1.0,0.19,0.325966
dfc77c79,1,EKF,1.0,0.20,0.376079
dfc77c79,1,LMHE1,1.0,0.20,0.350663
dfc77c79,1,LMHE2,1.0,0.20,0.499627
dfc77c79,1,LMHE3,1.0,0.20,0.355422
dfc77c79,1,EKF,1.0,0.21,0.351176
